Time,prey,predator
2.112112112112112072e+01,3.255199793346538417e+00,1.498959966437771563e+01
2.122122122122122079e+01,3.255033205396793861e+00,1.498993289794476347e+01
2.132132132132132085e+01,3.254871946239674685e+00,1.499025545270154680e+01
2.142142142142142447e+01,3.254715849321545562e+00,1.499056765735413421e+01
2.152152152152152453e+01,3.254564755864551628e+00,1.499086982496800857e+01
2.162162162162162460e+01,3.254418499974452317e+00,1.499116229421754198e+01
2.172172172172172466e+01,3.254276922629192548e+00,1.499144539063937920e+01
2.182182182182182473e+01,3.254139875937949178e+00,1.499171941483538006e+01
2.192192192192192479e+01,3.254007218181806049e+00,1.499198465620936460e+01
2.202202202202202486e+01,3.253878813813752213e+00,1.499224139296710234e+01
2.212212212212212492e+01,3.253754530161638403e+00,1.499248989972002910e+01
2.222222222222222499e+01,3.253634237873353374e+00,1.499273044645856778e+01
2.232232232232232505e+01,3.253517815631099985e+00,1.499296328767997721e+01
2.242242242242242511e+01,3.253405147652925766e+00,1.499318866815035634e+01
2.252252252252252518e+01,3.253296123690491370e+00,1.499340682290980808e+01
2.262262262262262524e+01,3.253190577396221084e+00,1.499361800631492336e+01
2.272272272272272531e+01,3.253088400863585417e+00,1.499382243806537574e+01
2.282282282282282537e+01,3.252989501968076347e+00,1.499402032330560353e+01
2.292292292292292544e+01,3.252893776220786126e+00,1.499421186588791244e+01
2.302302302302302550e+01,3.252801123120045546e+00,1.499439726066727907e+01
2.312312312312312557e+01,3.252711442808562392e+00,1.499457670361880446e+01
2.322322322322322563e+01,3.252624620185371906e+00,1.499475043992416801e+01
2.332332332332332570e+01,3.252540574918163507e+00,1.499491861260529824e+01
2.342342342342342576e+01,3.252459217895176558e+00,1.499508139432621867e+01
2.352352352352352582e+01,3.252380463536807653e+00,1.499523895013097174e+01
2.362362362362362589e+01,3.252304229795609292e+00,1.499539143744362057e+01
2.372372372372372595e+01,3.252230430997951505e+00,1.499553904996455245e+01
2.382382382382382602e+01,3.252158987895998887e+00,1.499568195602984488e+01
2.392392392392392608e+01,3.252089830431249773e+00,1.499582028166470593e+01
2.402402402402402615e+01,3.252022888252869226e+00,1.499595416872686826e+01
2.412412412412412621e+01,3.251958094309379987e+00,1.499608375288165973e+01
2.422422422422422628e+01,3.251895384370692810e+00,1.499620916452057173e+01
2.432432432432432634e+01,3.251834664085091475e+00,1.499633059207216945e+01
2.442442442442442641e+01,3.251775888671948778e+00,1.499644812884616307e+01
2.452452452452452647e+01,3.251718998492921120e+00,1.499656189685468100e+01
2.462462462462462653e+01,3.251663936623307105e+00,1.499667201304308684e+01
2.472472472472472660e+01,3.251610648852047980e+00,1.499677858928997942e+01
2.482482482482482666e+01,3.251559072960519714e+00,1.499688174653845074e+01
2.492492492492492673e+01,3.251509132553228376e+00,1.499698162292761694e+01
2.502502502502502679e+01,3.251460795028788819e+00,1.499707829738310316e+01
2.512512512512512686e+01,3.251414009792174209e+00,1.499717187105731675e+01
2.522522522522522692e+01,3.251368728685604115e+00,1.499726244040021328e+01
2.532532532532532699e+01,3.251324905875619731e+00,1.499735009730813395e+01
2.542542542542542705e+01,3.251282477868513432e+00,1.499743496448005153e+01
2.552552552552552712e+01,3.251241407521848092e+00,1.499751711738933224e+01
2.562562562562562718e+01,3.251201653585697571e+00,1.499759663819753008e+01
2.572572572572572724e+01,3.251163174005554879e+00,1.499767360985126174e+01
2.582582582582582731e+01,3.251125927884579880e+00,1.499774811255437434e+01
2.592592592592592737e+01,3.251089875335303692e+00,1.499782022397945624e+01
2.602602602602602744e+01,3.251054977331331752e+00,1.499789001947934963e+01
2.612612612612612750e+01,3.251021205232977884e+00,1.499795757422711340e+01
2.622622622622622757e+01,3.250988520493823142e+00,1.499802295941168673e+01
2.632632632632632763e+01,3.250956886055794470e+00,1.499808624475052277e+01
2.642642642642642770e+01,3.250926267206728060e+00,1.499814749890160925e+01
2.652652652652652776e+01,3.250896629678530658e+00,1.499820678932542251e+01
2.662662662662662783e+01,3.250867939518028216e+00,1.499826418250024851e+01
2.672672672672672789e+01,3.250840162957814083e+00,1.499831974413751112e+01
2.682682682682682795e+01,3.250813286477760133e+00,1.499837350835360716e+01
2.692692692692692802e+01,3.250787277963708366e+00,1.499842553740584350e+01
2.702702702702702808e+01,3.250762102614388471e+00,1.499847589725203179e+01
2.712712712712712815e+01,3.250737731566355038e+00,1.499852464430624188e+01
2.722722722722722821e+01,3.250714136252193409e+00,1.499857183412992612e+01
2.732732732732732828e+01,3.250691288316163607e+00,1.499861752157835681e+01
2.742742742742742834e+01,3.250669159529848251e+00,1.499866176094708692e+01
2.752752752752752841e+01,3.250647745875343553e+00,1.499870457369469356e+01
2.762762762762762847e+01,3.250627025981958962e+00,1.499874600423827076e+01
2.772772772772772854e+01,3.250606968499477389e+00,1.499878611009459028e+01
2.782782782782782860e+01,3.250587552183761275e+00,1.499882493496609293e+01
2.792792792792792866e+01,3.250568756516567959e+00,1.499886252135882891e+01
2.802802802802802873e+01,3.250550561681913919e+00,1.499889891064744063e+01
2.812812812812812879e+01,3.250532948542443901e+00,1.499893414314015239e+01
2.822822822822822886e+01,3.250515897304552926e+00,1.499896824891162517e+01
2.832832832832832892e+01,3.250499389417091045e+00,1.499900126140261847e+01
2.842842842842842899e+01,3.250483407935584879e+00,1.499903322021576457e+01
2.852852852852852905e+01,3.250467935750097404e+00,1.499906415886976596e+01
2.862862862862862912e+01,3.250452956247963154e+00,1.499909410969692125e+01
2.872872872872872918e+01,3.250438453286375484e+00,1.499912310388150871e+01
2.882882882882882924e+01,3.250424411164979155e+00,1.499915117149818222e+01
2.892892892892892931e+01,3.250410818223618215e+00,1.499917834262534733e+01
2.902902902902902937e+01,3.250397662661518083e+00,1.499920464615192728e+01
2.912912912912912944e+01,3.250384928634392878e+00,1.499923010866655027e+01
2.922922922922922950e+01,3.250372603374305669e+00,1.499925475661533980e+01
